film,role_type,name,image
Luca,Screenwriter,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
Luca,Screenwriter,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
Luca,Storywriter,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
Luca,Storywriter,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
Luca,Storywriter,Jesse Andrews,https://image.tmdb.org/t/p/w500/4b8ykcpOb7ysl5HEzr6vSGiUk1H.jpg
Turning Red,Director,Domee Shi,https://image.tmdb.org/t/p/w500/qswD23e2Hx91SiaxyiLZHz8glNu.jpg
Turning Red,Musician,Ludwig Göransson,https://image.tmdb.org/t/p/w500/3phYwmonUBcDXZ1DY5kHYjYYoor.jpg
Turning Red,Producer,Lindsey Collins,https://image.tmdb.org/t/p/w500/j8GZqzfI8VvUDQLq2LT5zuLeaX7.jpg
Turning Red,Screenwriter,Julia Cho,https://image.tmdb.org/t/p/w500/eLNMXoQkRExQ4ju8VB4r4d49DWX.jpg
Turning Red,Screenwriter,Domee Shi,https://image.tmdb.org/t/p/w500/qswD23e2Hx91SiaxyiLZHz8glNu.jpg
Turning Red,Storywriter,Julia Cho,https://image.tmdb.org/t/p/w500/eLNMXoQkRExQ4ju8VB4r4d49DWX.jpg
Turning Red,Storywriter,Domee Shi,https://image.tmdb.org/t/p/w500/qswD23e2Hx91SiaxyiLZHz8glNu.jpg
Turning Red,Storywriter,Sarah Streicher,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Lightyear,Director,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
Lightyear,Musician,Michael Giacchino,https://image.tmdb.org/t/p/w500/xgurVFMLVgtgz9f5bgrrCppm4xq.jpg
Lightyear,Producer,Galyn Susman,https://image.tmdb.org/t/p/w500/x7eCfF09EXtGThrf5tnr83G7qm7.jpg
Lightyear,Screenwriter,Jason Headley,https://image.tmdb.org/t/p/w500/1fuAUSWgOklSMJ8C6jDkpbzDw41.jpg
Lightyear,Screenwriter,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
Lightyear,Storywriter,Matthew Aldrich,https://image.tmdb.org/t/p/w500/wyVepuBeIiZTIh3xH9xZJqCF7NC.jpg
Lightyear,Storywriter,Jason Headley,https://image.tmdb.org/t/p/w500/1fuAUSWgOklSMJ8C6jDkpbzDw41.jpg
Lightyear,Storywriter,Angus MacLane,https://image.tmdb.org/t/p/w500/hSdzAk70cHvxvOFvZn8qiNnZPoZ.jpg
Elemental,Director,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
Elemental,Musician,Thomas Newman,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Elemental,Producer,Denise Ream,https://image.tmdb.org/t/p/w500/idxXAKRQBX0WnqPWBe6MK0flUph.jpg
Elemental,Screenwriter,John Hoberg,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Elemental,Screenwriter,Brenda Hsueh,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Elemental,Screenwriter,Kat Likkel,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Elemental,Storywriter,John Hoberg,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Elemental,Storywriter,Brenda Hsueh,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Elemental,Storywriter,Kat Likkel,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Elemental,Storywriter,Peter Sohn,https://image.tmdb.org/t/p/w500/8cQGViF2lXlcsAIvFUMWboXYXIu.jpg
Inside Out 2,Director,Kelsey Mann,https://image.tmdb.org/t/p/w500/jT77axUOdirHG85uXkgSiNT3qff.jpg
Inside Out 2,Musician,Andrea Datzman,https://image.tmdb.org/t/p/w500/nUVly6mPNhHGJ2YEL0kHdI2n0Si.jpg
Inside Out 2,Producer,Mark Nielsen,C:\Users\talk2\Desktop\Pixar+Films\default_image.png
Inside Out 2,Screenwriter,Dave Holstein,https://image.tmdb.org/t/p/w500/cahOZfIPtjdcDNZu2qiXZs6zQtE.jpg
Inside Out 2,Screenwriter,Meg LeFauve,https://image.tmdb.org/t/p/w500/EUoBoQfRaVZrOmMUMKkOKCnqDn.jpg
Inside Out 2,Storywriter,Meg LeFauve,https://image.tmdb.org/t/p/w500/EUoBoQfRaVZrOmMUMKkOKCnqDn.jpg
Inside Out 2,Storywriter,Kelsey Mann,https://image.tmdb.org/t/p/w500/jT77axUOdirHG85uXkgSiNT3qff.jpg
